Dis,Ct,St,Ct Wk,Ct Fi,,Opposition,Ground,Start Date
1,1,0,1,0,,ODI v India,Karachi,30-Sep-97
2,2,0,2,0,,ODI v India,Lahore,02-Oct-97
0,0,0,0,0,,ODI v South Africa,Lahore,02-Nov-97
0,0,0,0,0,,ODI v West Indies,Lahore,04-Nov-97
0,0,0,0,0,,ODI v Sri Lanka,Lahore,05-Nov-97
1,0,1,0,0,,ODI v West Indies,Sharjah,12-Dec-97
1,1,0,1,0,,ODI v India,Sharjah,14-Dec-97
1,1,0,1,0,,ODI v England,Sharjah,15-Dec-97
0,0,0,0,0,,ODI v Zimbabwe,Harare,29-Mar-98
1,1,0,1,0,,ODI v South Africa,Durban,03-Apr-98
0,0,0,0,0,,ODI v Sri Lanka,Kimberley,07-Apr-98
0,0,0,0,0,,ODI v South Africa,East London,11-Apr-98
0,0,0,0,0,,ODI v South Africa,Centurion,17-Apr-98
0,0,0,0,0,,ODI v South Africa,Cape Town,23-Apr-98
2,2,0,2,0,,ODI v India,Toronto,12-Sep-98
1,1,0,1,0,,ODI v India,Toronto,13-Sep-98
0,0,0,0,0,,ODI v India,Toronto,16-Sep-98
1,0,1,0,0,,ODI v India,Toronto,19-Sep-98
1,1,0,1,0,,ODI v India,Toronto,20-Sep-98
2,1,1,1,0,,ODI v West Indies,Dhaka,29-Oct-98
0,0,0,0,0,,ODI v Australia,Karachi,06-Nov-98
1,1,0,1,0,,ODI v Australia,Peshawar,08-Nov-98
2,1,1,1,0,,ODI v Australia,Lahore,10-Nov-98
3,2,1,2,0,,ODI v Zimbabwe,Gujranwala,20-Nov-98
0,0,0,0,0,,ODI v Zimbabwe,Sheikhupura,22-Nov-98
3,3,0,3,0,,ODI v Zimbabwe,Rawalpindi,24-Nov-98
2,2,0,2,0,,ODI v Bangladesh,Dhaka,16-Mar-99
0,0,0,0,0,,ODI v Sri Lanka,Jamshedpur,19-Mar-99
4,2,2,2,0,,ODI v India,Jaipur,24-Mar-99
2,2,0,2,0,,ODI v Sri Lanka,Visakhapatnam,27-Mar-99
2,0,2,0,0,,ODI v India,Mohali,01-Apr-99
4,4,0,4,0,,ODI v India,Bengaluru,04-Apr-99
1,0,1,0,0,,ODI v England,Sharjah,07-Apr-99
1,1,0,1,0,,ODI v India,Sharjah,08-Apr-99
0,0,0,0,0,,ODI v England,Sharjah,12-Apr-99
0,0,0,0,0,,ODI v India,Sharjah,13-Apr-99
1,1,0,1,0,,ODI v India,Sharjah,16-Apr-99
2,2,0,2,0,,ODI v West Indies,Bristol,16-May-99
3,3,0,3,0,,ODI v Scotland,Chester-le-Street,20-May-99
2,2,0,2,0,,ODI v Australia,Leeds,23-May-99
2,2,0,2,0,,ODI v New Zealand,Derby,28-May-99
2,0,2,0,0,,ODI v Bangladesh,Northampton,31-May-99
1,1,0,1,0,,ODI v South Africa,Nottingham,05-Jun-99
0,0,0,0,0,,ODI v India,Manchester,08-Jun-99
2,0,2,0,0,,ODI v Zimbabwe,The Oval,11-Jun-99
1,1,0,1,0,,ODI v New Zealand,Manchester,16-Jun-99
1,1,0,1,0,,ODI v Australia,Lord's,20-Jun-99
1,0,1,0,0,,ODI v West Indies,Toronto,16-Sep-99
